"sector","E.NH3","E.NOx","E.PM25","E.SO2","E.VOC","GED.NH3","GED.NOx","GED.PM25","GED.SO2","GED.VOC","GED.sum"
"Agriculture, forestry, fishing, and hunting",3520980.07169384,545599.283586815,1032006.7585613,19292.5672054915,505502.481608964,156359315721.714,7014028007.95785,67251396683.01,533944890.921216,1781624357.68826,232940309661.292
"Mining",1280.54177209376,775885.448053811,108552.948042133,108437.620217475,2629025.63581214,67763146.6176885,8203997324.70436,7965184222.71539,2650177951.91189,5805737386.52362,24692860032.473
"Utilities",36223.3393884898,2054156.66858562,218081.210402346,4631980.40339561,46973.4745251868,2107507181.49726,20407498360.0303,12798326641.6224,141705744313.371,170516568.659436,177189593065.18
"Construction",27.98460458,468.4089577,159754.107072186,96.680133466,327379.571996005,1184998.87408917,9113047.88662126,36035576040.7114,2056748.35398761,4112659188.74166,40160590024.5678
"Manufacturing",57649.3070921744,1071649.35980627,266123.725679409,974920.009212165,996571.731443407,3910595590.66813,14488173723.667,30749021602.7822,39227253590.2964,6864887630.13671,95239932137.5504
"Wholesale trade",154.7998763313,4180.64163416668,2173.29588062483,908.601907516735,45009.1394265658,16817521.528598,60767562.8716185,240370207.867238,36770937.2313247,347833529.941909,702559759.440688
"Retail trade",0,0,0,0,405376.195261824,0,0,0,0,3176564762.26242,3176564762.26242
"Transportation and warehousing",23943.10057163,4362499.81015482,174561.214367747,106222.8771974,943501.304486045,4692982468.47261,95576240126.0459,33455698103.7961,6411483782.43145,8235193028.46909,148371597509.215
"Information",5.47631402387,1019.52141530904,141.940922403333,52.189459211956,846.7740041493,2035976.95426353,30291035.5424942,80397320.2302634,2761852.97002241,10036428.1725186,125522613.869562
"Finance and insurance",1.98261252,250.1092424485,30.71330643777,11.18188886455,25.4415206139,481111.281289328,6794156.91116556,7182998.30649141,686880.692491401,314371.975856751,15459519.1672945
"Real estate and rental and leasing",73.932780821774,1725.407327812,138.571010990706,302.095620042122,326.47243818841,30961865.1905113,78089911.6886963,74452020.5143041,31879042.3787432,6619579.70679693,222002419.479052
"Professional and business services",29.140062014,2801.531493804,336.158724170756,584.6969185078,2019.65270341407,9698055.34950975,73917233.8669649,100287115.952732,46144941.1029716,15723292.4645264,245770638.736705
"Management of companies and enterprises",0.4988562,36.427735,4.47155188,17.741011,22.6338096,108117.883905056,1054765.32831057,1462657.48803928,1201608.70084248,311735.713297076,4138885.11439446
"Administrative and waste management services",26766.3482852788,82528.5647678144,83764.9562788616,14478.7463331627,95729.66452571,4055030466.02496,1657638091.36348,9484014146.39714,1048553283.51566,573422248.12568,16818658235.4269
"Educational services",159.748931635335,14634.7542660897,1738.17893476837,28289.0479235991,839.634270082778,41193534.9636796,300328306.764262,318567272.597602,1336157802.23946,8726612.29809671,2004973528.8631
"Health care and social assistance",119.897329616041,6930.06521524785,827.098418331631,4167.67067203674,708.123206983535,35680375.4520654,190987651.400709,227571160.971262,212095574.271866,11863013.6032506,678197775.699153
"Arts, entertainment, and recreation",6.5503658015,587.405354429,68.37735667526,13.2582772388,157.0923118277,2693475.25471244,19561358.2597746,20939996.0054536,895491.939470421,1911193.55893893,46001515.01835
"Accommodation and food services",31.4225255,1032.1094254,145.316033190632,1051.194873948,204.022629476,2138317.60574098,15501248.1855903,16384930.1023334,33562313.7073379,1186883.42238526,68773693.0233878
"Other services, except government",46674.0961327398,537818.664529475,144067.113407354,6461.45164411455,2062588.97676422,9293613847.3865,14507823797.4084,22806067918.7124,425147055.336914,17402519422.4021,64435172041.2464
"Government",3020.88800494245,14247.1312382091,3592.350400876,9910.72718392695,18566.2489220065,858679570.710728,254025990.95187,524941943.842012,361139751.527609,209474321.224936,2208261578.25715
"No attribution",137795.636980112,4983865.88511042,1742964.84667752,296777.64842121,45205463.1731658,21314724556.2142,111809452376.095,231571621857.093,19698726495.1847,182696184748.218,567090710032.805
